Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
XNJ,Xinjiang,1583525,0,2,9452073.065,2.82057E+12,China (PRC),East Turkistan,China (ROC),None,None,East Turkistan,Xinjiang People,East Turkistan,2,4,1,1,1,UNPO Member,None,1,China
TAR,Xizang,1122436,0,2,7648208.312,1.55707E+12,China (PRC),Xizang (Greater Tibet),China (ROC),None,None,None,Tibetan,Tibet,2,4,1,1,1,Multiple,None,1,China
IMG,Inner Mongolia,1138600,0,2,13180396.02,2.22975E+12,China (PRC),Inner Mongolian,China (RoC),None,None,None,Southern Mongolian,None,2,4,1,0,1,UNPO Member,Mongolia,1,China
GUI,Guangxi,245782,0,2,2825976.059,2.94799E+11,China (PRC),China (RoC),None,None,None,None,Guangxi People,None,2,4,1,0,0,None,None,1,China
NGX,Ningxia,52110,0,2,1655378.103,82491833096,China (PRC),China (ROC),None,None,None,None,Ningxia People,None,2,4,1,1,0,One China Policy,None,1,China
SHI,Shanghai,16153,0,2,745221.231,22151385823,China (PRC),Shanghai,China (ROC),None,None,None,Shanghainese,None,2,4,1,0,1,Multiple,None,1,China
HKG,Hong Kong,2763,0,2,236718.8873,3244969703,China (PRC),Hong Kong,China (ROC),None,None,None,Hong Konger,None,8,4,1,1,1,Multiple,None,1,China
MAC,Macau,119,0,2,50210.06236,139163686.6,China (PRC),Macau,China (ROC),None,None,None,Macanese,None,2,4,1,0,1,Joint Declaration on the Question of Macau,None,1,China
ANJ,Anjouan,440,0,7,131767.329,463899811.1,Comoros,None,None,None,None,None,Comoran,None,2,4,1,0,0,None,None,1,None
MWL,Mwali,630,0,7,132748.5748,664102138.9,Comoros,None,None,None,None,None,Comoran,None,2,4,1,0,0,None,None,1,None
